gid,formula,n_sites,K_VRH,G_VRH,gamma,kappa_agl,density_g_cm3,volume_m3
ag-80c10bcea48c,Al1F6K3,10,39.4778,13.1563,2.08768,1.23651,2.60406,1.6468983317777892e-28
ag-f0c863b63bdd,As2Nb2,4,159.804,85.8105,2.08788,14.9346,7.78674,7.157935599713447e-29
ag-5ae0bc1adf7c,Cd4O12Ti4,20,184.689,87.2427,2.08799,4.97296,5.99856,2.3062252723519967e-28
ag-5ed02d9a45e8,Ca4Cl8,12,28.1042,11.3858,2.08821,0.960523,2.15797,3.4160487452102557e-28
ag-0ccbd823c5af,Ir1Si3U1,5,127.794,58.7451,2.08834,6.5399,9.73154,8.779199917637399e-29
ag-1ac49c8e5e12,Ir1Sc1,2,164.761,80.0181,2.08856,16.4668,11.4634,3.4355853055401006e-29
ag-3c5c4e212c7f,Ba6O10Si2,18,73.9944,40.6267,2.08864,3.05649,5.52731,3.1247958188078075e-28
ag-7e82aa21c593,Nb6Te8,14,59.9152,37.6969,2.08868,4.0649,7.0289,3.728501359165146e-28
ag-5822e01d0015,B2Tc6,8,306.781,141.16,2.08882,15.1718,10.3428,9.787496102204674e-29
ag-32b78ac78f5a,K12S12Sb4,28,15.1135,7.68826,2.08886,0.587073,2.5017,8.901076164587974e-28
ag-27893b56ecab,Cd4Nb4O14,22,181.711,55.6214,2.08891,2.66189,6.50184,2.669547273630343e-28
ag-3b221436eaa1,Si1U3,4,133.9,24.1499,2.08898,1.70665,14.7802,8.338222636098567e-29
ag-f269d172f956,Cu1Ti3,4,96.4902,42.588,2.08913,6.15669,4.92602,6.982831698389169e-29
ag-02918067ce67,K2O1,3,27.3661,12.5009,2.08919,1.76966,2.29266,6.82247424029091e-29
ag-ed428a902e5d,Cl6Rb2Zr1,9,9.22778,4.66488,2.08943,1.43125,2.74151,2.8763448123597876e-28
ag-fe69d06cda3e,Al1Ni2V1,4,211.389,59.2787,2.08965,6.06207,6.70901,4.834090530296431e-29
ag-2e6fc8387da4,B2Ho1Ru3,6,209.437,81.1447,2.08974,8.42641,10.2818,7.909796589202771e-29
ag-41f0e3023982,La1Os2Si2,5,134.213,85.874,2.08986,15.7457,10.5086,9.094463512628313e-29
ag-e18af383fa2a,Ca1Cd2P2,5,58.5234,35.8285,2.0902,4.67025,4.79971,1.1307830731929241e-28
ag-8cf08ce1df28,Rb8Sb8,16,11.5673,4.96954,2.09051,0.314214,3.83971,7.1694968127399515e-28
ag-4ece059f675b,Ge3Hf3Os3,9,209.184,99.7346,2.09053,7.56488,14.7822,1.487387917430239e-28
ag-3df71fdb8f32,C1Ir1,2,276.461,82.8468,2.09073,14.6187,13.9463,2.4316705816730234e-29
ag-6686df75af4c,Ca4Pt4Si4,12,83.8297,22.8374,2.09075,1.32018,6.79898,2.57175492756139e-28
ag-1dff4665ff68,Rb4Te2,6,12.5158,5.57489,2.09089,0.393993,3.73433,2.654987783998045e-28
ag-ec94631f7bd6,Al12Ni4,16,115.239,66.3202,2.09104,4.64472,3.9904,2.324322177409864e-28
ag-ef38f4ae340f,Mg3Tl3Y3,9,54.296,39.2392,2.09104,2.96486,6.8182,2.320454783074508e-28
ag-6f202b0b1a0d,In2Pd4Tb4,10,86.2503,34.1857,2.09106,1.86987,9.64574,2.222519815338542e-28
ag-662744c681b5,Dy2Ga4Ni2,8,96.8957,44.6033,2.0911,3.1787,8.76453,1.3665440420768346e-28
ag-ad9354be15e7,Rh4Si4Ta4,12,240.881,118.668,2.09121,8.25439,11.6564,1.777518604822928e-28
ag-39fbb25ad81e,Li2Pd1,3,49.3328,19.5659,2.09126,2.17507,4.7474,4.2079068709212036e-29
ag-7a3214622338,Ga1Li1Mg2,4,40.7333,17.2913,2.0913,1.94365,2.80292,7.42163069332155e-29
ag-36f3a9e3d11d,Hf4Ni6Si8,18,177.851,93.1942,2.09131,4.94141,8.87161,2.416056537132688e-28
ag-89fa2dba4515,Ca6Hg4,10,31.2401,13.0324,2.09133,0.653701,5.60008,3.092199814546122e-28
ag-7781993ef5be,Cr2O8P2,12,114.186,79.3379,2.09134,16.0695,3.75947,1.2982958351578864e-28
ag-9e183a9afc99,K2O1,3,27.45,12.534,2.09138,1.76563,2.29606,6.812371537218259e-29
ag-ab2c9b4d65b4,Er4Pt4,8,114.728,35.7868,2.0915,1.95345,14.1202,1.704465112417795e-28
ag-3ed71ef6a437,Cu3Ge3Sc3,9,100.099,65.3961,2.09152,5.70797,5.93227,1.521137211259531e-28
ag-cb23330d734d,Ir1La1Si3,5,123.733,67.3026,2.09176,9.75813,7.55214,9.133212667258146e-29
ag-2c1f33aa4ea9,Ho2In2Zn2,6,65.351,42.4746,2.09182,3.84946,8.49955,1.3486530792405657e-28
ag-f7bd7ad67ebe,Ru2Si2Th1,5,161.902,98.5712,2.09188,16.1499,9.1469,8.901854949770823e-29
ag-ad5c5cf40454,Al3Ho1,4,75.1,61.44,2.09195,10.7542,5.3412,7.644067557733598e-29
ag-2f48421ae345,La4S4,8,14.2412,9.89033,2.09217,3.63708,2.85799,3.973465892742288e-28
ag-b56afeb980ce,Re10Si6,16,288.943,102.121,2.09229,5.15328,15.1598,2.2242129839930787e-28
ag-6fe7c7b8f2f5,As2Nb6Te6,14,69.4018,46.7455,2.09242,5.15097,7.10057,3.444480144568149e-28
ag-1b9d423e7616,Bi4Ga4O12,20,85.5898,43.788,2.0925,3.34915,7.54535,2.8759475434312603e-28
ag-aa6ceeb12511,Ce1O2,3,189.144,76.6165,2.09258,13.8996,6.89265,4.1464944446627304e-29
ag-129f24d8bdf2,K5Sb4,9,14.982,8.75111,2.09263,0.771061,3.08095,3.678638796264457e-28
ag-084c8813318e,Dy2In2Zn2,6,64.9651,43.4144,2.09276,4.01433,8.35174,1.362857494794182e-28
ag-df63026a09e9,Dy2Sn4,6,58.5548,34.7949,2.0928,3.26052,8.16845,1.625970125335093e-28
ag-cfbceda193fc,Cd1Li2Pb1,4,32.6056,11.4381,2.093,0.775195,6.48701,8.53672423716988e-29
ag-2f2f997069e3,Cd2Se8Yb4,14,48.9389,10.7181,2.09304,0.29051,6.20727,4.142906224409263e-28
ag-cb9cd516a159,Al16Pd7Ti6,29,127.528,69.695,2.09319,3.14955,5.29854,4.5876307360802615e-28
ag-b7ba9a9f2b07,Ca4N8O24,36,12.6517,11.3559,2.0932,6.49476,2.35409,4.6298009379836375e-28
ag-1654cd59306b,Mg4Pt2,6,72.4919,39.6907,2.09342,4.49778,7.15595,1.1309844459394501e-28
ag-e8e26f88cdfd,Cu3Nb1S4,8,35.8444,22.6395,2.09342,5.6388,3.97107,1.721997498878115e-28
ag-8e1df3004e6e,O2Pb2,4,20.4054,10.5832,2.09353,3.91442,8.32366,8.905489252124187e-29
ag-bca3f4fd2918,S8Sn2Sr4,14,30.6184,14.7399,2.09362,1.59124,3.57436,3.922918784393211e-28
ag-e27395c80060,Mo8P5,13,226.728,112.188,2.09366,9.56334,8.05307,1.9019611820084572e-28
ag-d896b93f18da,Cl1Na3O1,5,34.6167,23.2233,2.09368,2.63317,2.17663,9.186905920391225e-29
ag-e5d89371a9e1,Ga4Li4Se8,16,36.3455,17.5234,2.09387,1.11692,4.04695,3.8501676215351753e-28
ag-fe06cb46a897,C2Re4,6,391.213,256.279,2.09394,32.4936,17.9862,7.098244571015388e-29
ag-e4dd36659b84,K2S1,3,18.3611,9.84152,2.09396,1.68403,1.75988,1.0403760162387354e-28
ag-da5ce7d4e4ec,Ga1Hf1Ni2,4,163.489,13.58,2.09399,0.716183,11.0398,5.499128160303146e-29
ag-0d80a637c412,N8O4,12,4.46111,2.72299,2.09403,5.12946,1.38626,2.1088388565046234e-28
ag-b4b43457e584,Er4Pt4Zn4,12,107.242,33.3655,2.09409,1.37378,12.4699,2.2784429925381378e-28
ag-b58f57b429d3,Cs2Na2S2,6,21.1088,11.2794,2.09417,0.927923,3.37169,1.851387821752099e-28
ag-a524a8751b3f,Fe4P4Ta4,12,259.303,147.99,2.09463,11.2691,11.6561,1.5258515962398963e-28
ag-954591007d0a,Al24Ir8,32,154.372,69.6397,2.09478,2.45706,7.7037,4.710417430912209e-28
ag-cf311e49159a,Nb6Se8,14,78.0287,38.1101,2.09488,3.80712,6.35231,3.108439856915354e-28
ag-bd39fcd8abd8,Bi2O2Se1,5,77.3104,29.3365,2.09493,3.51302,9.18333,9.563977978472356e-29
ag-ecb6504fa2a9,Ba3O1Sn1,5,36.6278,25.4836,2.09528,2.87552,5.37215,1.689827660313246e-28
ag-35bb8c6d60e0,Lu1Ni1Sb1,3,82.1444,57.1621,2.0955,10.5306,9.49953,6.21282799534923e-29
ag-9348eeb7ba1f,Pd2Sr2,4,41.1388,20.3569,2.09555,2.2687,5.93846,1.0851668630690922e-28
ag-d78aa7a19394,Ca2Ge2N4,8,113.986,50.2937,2.09556,6.24277,4.31952,1.0820183149855137e-28
ag-92cda4cf2dce,Ir2Mo6,8,280.489,104.165,2.0957,9.14857,12.725,1.2528411660722423e-28
ag-f271f31b7b56,Al2Te4Zn1,7,29.6723,19.1892,2.0958,2.75125,4.74511,2.2038712216248535e-28
ag-4edef03cd560,As2Pb6Zr10,18,102.192,62.9127,2.09586,3.32607,9.44431,4.053247736654833e-28
ag-69a50dc87999,Te1Zr1,2,95.1389,53.1216,2.09606,12.9991,7.46255,4.8691908357019837e-29
ag-0aeb6941dee6,Pa2Sb4,6,84.9407,41.3062,2.09624,3.71887,9.57429,1.6461138695918792e-28
ag-da11c02030e6,Hf4Ni4P4,12,193.463,95.49,2.09634,6.09346,10.7874,1.651131666535347e-28
ag-c2e0335b2892,Ho3Sn7,10,58.8555,29.4414,2.09653,1.78674,8.20642,2.6826288040986443e-28
ag-68e4d049244c,Hf2Pt2,4,179.534,55.1423,2.09661,5.40683,16.6479,7.452402059911801e-29
ag-776d6021f8dd,Ni1O1,2,187.983,95.0805,2.09675,21.5038,6.56005,1.8906915708529732e-29
ag-ad9cecf0b46e,Ge4Th2,6,85.6132,47.5316,2.09678,5.04758,8.50217,1.473862270840792e-28
ag-8ec0ddedd7a8,F6Na1P1,8,21.1111,9.88395,2.09679,4.56798,2.23804,1.2461533134431994e-28
ag-503b09b80c9d,Na2Nb2Se4,8,62.6394,39.9156,2.09681,5.56409,5.44632,1.6696867350630056e-28
ag-66516c3a8bc7,Se2Ti2,4,61.6268,26.4639,2.09688,3.40623,4.79746,8.779695430485223e-29
ag-e81fdf58728b,Ag1Al1S2,4,71.6539,32.5879,2.09697,5.04353,4.36896,7.562752449259227e-29
ag-9d3aacc399f3,Er3Sn7,10,58.7421,28.995,2.09706,1.74102,8.28686,2.670587483551007e-28
ag-ae7b9e24cd36,Au1Y1,2,82.7944,30.3376,2.09711,4.65739,10.1622,4.6712554349741594e-29
ag-6675449ac1e1,Se1Y1,2,79.3722,29.4786,2.09725,5.87406,5.77611,4.825874193410714e-29
ag-3f57a877140f,Li2Sb2Zn2,6,46.0462,25.2144,2.09728,2.09482,5.23576,1.2312529154037848e-28
ag-70733edbcdfd,Mn1Te1,2,37.1944,11.8874,2.09736,1.92182,4.44596,6.817685153786557e-29
ag-7f08b280bb02,Bi16O24,40,109.979,25.6124,2.09739,0.526131,8.74592,7.077522986113473e-28
ag-e059c8bcb764,Pb3Tb1,4,50.2278,8.65957,2.09741,0.468345,11.1463,1.1628009618856823e-28
ag-6f2fea1877e9,Al9Ba1Ni2,12,79.2764,47.7773,2.09742,4.13762,3.81866,2.1635791246212594e-28
ag-29355c7ad0a3,Ce1Se1,2,76.0667,45.6437,2.09768,11.9189,7.58844,4.793926769592454e-29
ag-9dfb2ae6dbd9,Tc2,2,299.845,133.49,2.09792,33.4878,11.2473,2.8937225561121336e-29
ag-9ad459e8be4c,As4Co4Nb4,12,171.785,84.6671,2.09796,5.77787,8.73011,1.7252739765048512e-28
ag-71eeeb037dbb,Al16Pt7Zr6,29,145.2,83.1316,2.09801,3.40706,8.19165,4.752840637119122e-28
ag-4d9e8eca064c,Si4Th2,6,100.858,33.1614,2.09804,2.93156,7.36978,1.2987698506008684e-28
ag-2d8012161bf6,Ge4Ni4Ti4,12,154.337,79.7815,2.09808,5.88159,6.97125,1.7074083698065431e-28
ag-fb311837ec52,Mo6Sn2,8,210.317,94.227,2.09809,9.10749,9.80394,1.3771176623783866e-28
ag-28db322a7eae,Hg1Ho1,2,70.2778,21.0546,2.09811,2.46276,11.9303,5.087556649842277e-29
ag-a7b9a122dec4,Li1Pb1,2,34.0444,9.86566,2.09819,0.897914,7.85762,4.525409682076641e-29
ag-3f1afe7cdc19,In3Rh3Tb3,9,100.02,30.1355,2.09826,1.65665,9.79886,1.9148353884481365e-28
ag-0a2ad91ef1bb,Ir4Nb4Si4,12,246.801,127.647,2.09843,9.67596,11.6208,1.7902229837740311e-28
ag-12a02af58baf,C4Mo16Ni8,28,264.228,120.678,2.09848,5.36763,9.38905,3.630263236722734e-28
ag-5b8c6ef02fe2,K10Te6,16,14.8008,9.07266,2.0985,0.450145,3.07634,6.242974623303755e-28
ag-3d5c7e27f5a6,Cl1Li1,2,32.0444,18.5325,2.09853,3.82212,2.05288,3.4291772139355635e-29
ag-c61260c70de2,Bi4O6,10,116.872,20.0376,2.09853,0.741669,8.83343,1.751852050525944e-28
ag-6ea3320001d1,Al1Cu2Ti1,4,125.183,53.151,2.09864,7.30709,5.98212,5.605540401656022e-29
ag-01f2970f2341,Si2Th1,3,99.273,29.1183,2.09872,4.01412,7.38234,6.482800893457406e-29
ag-558291695b00,Al16Pd7Sc6,29,109.661,52.2526,2.09886,2.14066,4.89163,4.909959755609496e-28
ag-ff2f0f54ae83,Er4O14Tc4,22,185.906,99.3199,2.09886,5.35573,7.86351,2.7135954954711547e-28
ag-5ac80aff95ea,Er2Si4,6,88.8262,30.6393,2.09893,2.67336,6.53091,1.136179318503663e-28
ag-615e53b872f6,As8Ba4Zn8,20,53.0518,31.1862,2.09897,1.32349,5.91139,4.696599178723204e-28
ag-39f356cd89bb,Mo3Si6,9,203.551,147.733,2.09899,18.3376,6.17182,1.227771992505902e-28
ag-8360370e5650,Al2Pt1,3,130.95,31.4481,2.09916,3.90818,7.99928,5.169870302241528e-29
ag-14ef2ceb1efd,Ce4Os8,12,216.698,32.5531,2.09935,1.24431,15.5516,2.2234028270643833e-28
ag-b1f37e8516f1,Mn4Nb4P4,12,242.034,119.081,2.09938,10.0886,7.55208,1.5727300840673523e-28
ag-8ce2b4896e63,Dy4In2Pd4,10,87.5686,34.7648,2.09945,1.86754,9.84851,2.20086917945765e-28
ag-c006cc6f795d,Cu2P2Sr2,6,65.1628,47.2147,2.09947,5.57176,4.79073,1.2626476147986891e-28
ag-e0365637a063,Al3Er1,4,74.9556,61.7631,2.09954,10.7424,5.4365,7.581197470933082e-29
ag-c1573e2e95ab,Bi4Cr4O12,20,166.491,78.4726,2.10001,3.78178,8.41289,2.4394212212022973e-28
ag-1342eade0b91,Ce4Os8,12,213.009,33.0345,2.1001,1.30507,15.5567,2.2226739221926546e-28
ag-c5cd21ef4511,Cr2P8,10,117.872,99.0583,2.10025,13.7047,3.84298,1.5200397749825522e-28
ag-505dc3843fa6,Ge3Ru3Sc3,9,143.578,85.1216,2.1004,8.49,7.2414,1.5042807581809504e-28
ag-f175d3c78f3b,Ga3Rh3Zr3,9,153.954,52.5239,2.10041,3.77552,8.5263,1.54159735431574e-28
ag-da5c0d5add7e,Ni4Sn4Y4,12,87.3032,39.9672,2.10044,2.54029,7.07616,2.499756440905497e-28
ag-6fac4436ce11,Cr1Si2,3,187.983,166.104,2.10058,46.7959,4.9967,3.5946863984395474e-29
ag-279b6e0ce01d,C1Ge1,2,176.45,147.253,2.10065,45.5096,5.77932,2.4322203021296038e-29
ag-e1ac0706f152,Nb6Sn6Tb1,13,114.198,73.1205,2.10065,5.69364,8.2374,2.8798957791085825e-28
ag-f40823291e45,Au1K3O1,5,18.5778,11.7236,2.1008,0.987767,3.64094,1.5062348600739504e-28
ag-b30202b6b636,Au1Tb1,2,82.1,28.2521,2.10084,3.66941,12.561,4.70481995849648e-29
ag-e833f0eceb0b,Cl6Cs2Zr1,9,7.40556,4.38089,2.10089,1.52754,3.01623,3.136687040009189e-28
ag-1b77bae9c459,Bi4K12Te12,28,10.2746,5.48686,2.10111,0.329715,4.04094,1.1655181584592842e-27
ag-1d5a88cc33f3,Al2B2Ru3,7,238.799,98.1855,2.10124,10.5047,7.98061,7.881653456645079e-29
ag-6dd50e4e9e47,Ir4Mn4Si4,12,150.04,71.4828,2.10133,4.97859,10.2116,1.7903077977389454e-28
ag-fdf1ecb52d3d,Br6Cs2Mg2,10,12.0149,6.0372,2.10162,0.627088,3.77694,3.490154663778664e-28
ag-b6b877fb8d8f,Sn8Sr2,10,40.2189,11.2146,2.10184,0.51492,6.10948,3.0575001584417533e-28
ag-3655d7d1b223,Ag3Si3Y3,9,84.803,53.833,2.10203,4.55412,6.11916,1.830584919857118e-28
ag-1977b3f1465c,Cl2F2Yb2,6,52.023,25.6767,2.10204,2.16643,7.071,1.068472245309722e-28
ag-a030e1a3f3ef,As4Ge2Mg2,8,52.4012,25.6439,2.10206,2.299,4.00681,2.0455247305257506e-28
ag-383cba91cc73,Er2In2Zn2,6,65.8719,42.5958,2.10209,3.77714,8.6433,1.3351707752746466e-28
ag-64bb74c859cb,Os4Th2,6,213.228,26.9217,2.10232,1.42381,16.8544,1.2068978508243674e-28
ag-13e3d03ca28e,Sn1Te1,2,40.3556,26.7215,2.10233,5.36039,6.08957,6.716523128796386e-29
ag-eec5f50360d0,K2Nb2S4,8,70.801,47.2397,2.10237,7.40201,3.96881,1.641244093091328e-28
ag-7a667460b497,Eu2F8Mg2,12,52.3918,28.2783,2.10241,2.44329,4.87891,1.7171537232578148e-28
ag-4061333bd648,Hf6Rh10,16,194.59,66.9564,2.10262,2.9963,13.4829,2.586330638931288e-28
ag-5b3f8e61186e,Er6F20K2,28,91.75,48.093,2.10271,1.92218,6.28637,3.861116902044198e-28
ag-c87705861b1e,Mg1Rh1,2,123.689,59.0882,2.10289,11.3333,7.11647,2.968297553867568e-29
ag-549edbf03310,Ba1S1,2,41.4,24.487,2.10301,5.63285,4.1776,6.733101148255151e-29
ag-24f9d0cd72c1,Al1Ti1,2,105.084,66.6863,2.10303,20.0674,3.63343,3.4207050204137155e-29
ag-3514633aa46a,Rb6S6,12,15.8471,8.08643,2.10303,0.625174,2.7248,4.297588212130456e-28
ag-bb7732d67f35,La2Pt2,4,84.8598,26.3449,2.10309,2.43181,10.7258,1.0341467541218906e-28
ag-029fe9751aa1,Mo2P4,6,169.671,126.195,2.10328,22.4828,5.83761,8.9823883997302e-29
ag-be66b7aa2615,Bi8O12,20,49.3195,28.9702,2.10364,2.9729,8.97378,3.448906137364052e-28
ag-d98f9d3290c5,Dy3In3Rh3,9,98.7365,29.3081,2.10375,1.63486,9.97048,1.8997359478863156e-28
ag-afaf34e9dd44,K4O4,8,30.3473,16.6413,2.10382,1.85977,2.31067,1.5838156609088589e-28
ag-884e7137b28e,Mo1Si2,3,201.565,176.801,2.10387,49.6447,6.15297,4.105111157044363e-29
ag-3653e3e40329,Si8,8,84.684,64.3158,2.10396,11.3035,2.52935,1.4750689293294895e-28
ag-99ab44d0ed89,Nb6S12V2,20,86.5386,67.139,2.1041,7.57013,4.75991,3.642444846493032e-28
ag-1296a37c4b00,Pt1Ti1,2,179.528,20.2094,2.10415,2.13336,12.2701,3.287908222178602e-29
ag-233385960b68,La2Sn4,6,50.4516,23.9169,2.10423,2.25092,6.85517,1.8231587099710328e-28
ag-6a87de99cc84,Tc1,1,293.528,141.581,2.10423,59.058,11.1933,1.453841391964836e-29
ag-33ed8f510f3a,K1O3Ta1,5,184.633,121.253,2.10432,19.2577,6.73174,6.611933386800079e-29
ag-35e6777f90fd,Ni1Sb1Y1,3,87.6278,54.6389,2.10432,9.80227,6.99458,6.394687852238104e-29
ag-bc1e17464cf1,Au1Dy1,2,85.1389,29.6842,2.10462,3.80521,12.8638,4.640217361597386e-29
ag-81ee2ef7b606,Cl8Mg2Na4,14,26.0297,12.5528,2.10467,0.91383,2.19535,3.2085506927780387e-28
ag-df2ac674923b,Ga4Se8Sr2,14,29.3315,17.371,2.10476,1.80968,4.64279,3.883512381527226e-28
ag-07eae5aae7ba,Mn4Te8Zn2,14,42.1944,7.54221,2.10479,0.234734,5.66185,4.0220312418383987e-28
ag-be4b6422d413,K1Nb1O3,5,116.857,54.875,2.1048,12.7733,4.47347,6.681654606837908e-29
ag-753431d8350d,Ce2Os4,6,219.611,24.2215,2.10484,1.24337,15.5606,1.1110584233697437e-28
ag-54a8c07e6480,B2Fe1,3,190.057,112.297,2.10498,24.2745,5.00559,2.5698664867138976e-29
ag-b3ad9a78aad7,O1Pb1Sr3,5,40.85,32.9497,2.10503,3.77771,5.68641,1.4193852050558365e-28
ag-a2ccb8c1cb17,Si4Sr2,6,52.9924,39.1958,2.10508,5.40423,3.46109,1.3797420634856682e-28
ag-178372bce1c5,N4W3,7,330.994,92.9357,2.10511,7.69534,13.2086,7.637866209801318e-29
ag-4990d46926df,C1Ru1,2,317.922,16.1078,2.10513,1.49975,9.38138,2.0015703449649691e-29
ag-1286e4b99d2f,Fe4P4Zr4,12,135.995,83.6578,2.10514,6.81398,6.30466,1.8757361178960703e-28
ag-310c8244b2e7,C4Nb16Ni8,28,197.894,93.0228,2.10516,4.25778,8.23423,4.041511096852592e-28
ag-c3b0031834ea,O6W2,8,165.298,93.6305,2.10517,15.3918,6.67335,1.1537725077516513e-28
ag-1c50674f256a,Ni1Si3Sr1,5,88.2807,54.4535,2.10532,7.95615,4.45435,8.595425292849808e-29
ag-30bf71b835b7,In3Ir3Tb3,9,114.795,35.1322,2.10532,1.86197,12.1056,1.9174895040186587e-28
ag-dfaa12a3d112,Bi8O12,20,27.0722,14.1347,2.10542,2.31233,8.30837,3.725125977460654e-28
ag-b763bddbb787,In6S8,14,53.0778,13.4895,2.10555,0.661433,4.549,3.4511323997746866e-28
ag-81b1ef3fc2ca,B2Ru3Tb1,6,215.717,83.4031,2.1056,8.26671,10.0852,7.965116987564842e-29
ag-891e01856445,Ni4P4Ta5,13,222.432,112.519,2.10572,7.39717,11.9857,1.7503678723485884e-28
ag-012e952be3f6,F9Y3,12,96.7167,49.8366,2.10577,4.35946,4.63794,1.5671251201447298e-28
ag-77ba44fb28f6,Cd1Er1,2,60.3778,25.1596,2.10596,3.68017,9.08854,5.109764172859689e-29
ag-8e9d131ec969,Cd2Cr4S8,14,77.7389,30.6384,2.10598,1.91918,4.05931,2.8198226221666688e-28
ag-37f7af1e3eac,Ni4Sn4Tb4,12,87.5257,37.6546,2.10607,2.08929,8.90926,2.507445191164001e-28
ag-1b51d6ade1d3,Ge4Ir4Y4,12,137.808,44.416,2.10621,2.33309,10.3574,2.268666007827277e-28
ag-1bcd81bf7bd0,Ge3O9Sr3,15,57.6448,24.5563,2.10624,2.89562,4.177,2.4837506131658805e-28
ag-918c033aad3e,Ba6Ge10,16,36.6308,23.3873,2.10626,1.33826,5.45306,4.721086267842477e-28
ag-9fab41bd3120,F6Si1Tl2,9,19.8944,5.99617,2.10646,1.02404,5.66681,1.6141277414911752e-28
ag-2ee4bf69de68,Cr3Ge3Nb3,9,189.668,82.1495,2.10654,7.25123,7.99836,1.3549194585579388e-28
ag-786c95a74595,Al1Bi1,2,37.8444,22.6761,2.10667,4.40742,5.85452,6.692675356407879e-29
ag-75cade801fdc,Br3Cs1Ge1,5,22.9833,12.5055,2.10669,1.09442,4.20442,1.7585478938229775e-28
ag-c60d45627d5b,Ho3In3Ir3,9,116.093,35.6683,2.10672,1.87356,12.4383,1.8902507222217756e-28
ag-3a49575b9b56,Pb4Y2,6,53.3937,28.0415,2.10676,2.03079,9.70121,1.7229995564951579e-28
ag-7ad05c2450ba,Ba1O3Zr1,5,147.567,91.0252,2.10688,14.012,5.95313,7.713937885397709e-29
ag-10aba4c9e4bb,Ba2O2,4,66.7786,28.4045,2.10698,3.25459,5.9412,8.570809841147858e-29
ag-318629758c94,Cl6K2Ti1,9,11.4833,5.54023,2.10717,1.48494,2.2095,2.5460967723252076e-28
ag-74c0b1109069,Al2Cd1Te4,7,25.9922,15.7338,2.10736,2.2933,4.77832,2.351893122379339e-28
ag-98d578e9d4fe,Te4Zr4,8,91.4831,46.0616,2.10746,4.13816,7.33068,1.9827126580872628e-28
ag-059e23974aa9,Na1O3W1,5,207.067,99.8725,2.10753,13.6807,6.97981,6.062511705215253e-29
ag-b29f8d68fec2,Al4Cu2Mg2,8,78.0023,47.065,2.10771,4.85163,3.5524,1.3257956051369684e-28
ag-f2e78119a42e,In3La3Rh3,9,85.9069,28.4032,2.10819,1.67815,8.34653,2.128536063368799e-28
ag-3b038973a102,Co3Sn3Th3,9,108.172,50.9042,2.10824,3.49518,10.1408,2.0125386422606197e-28
ag-89d55d14665f,Cu3In3La3,9,60.056,23.1972,2.10824,1.34108,7.25899,2.177320878969981e-28
ag-3be04981f5c1,Ga1Ir1Li2,4,96.9944,39.414,2.10826,3.73217,8.65401,5.292496847446967e-29
ag-08476bef4ba9,Ba1O3Ti1,5,160.017,106.57,2.1084,16.6821,5.78831,6.689772284594302e-29
ag-5dc16c72f983,Os2Si2Th1,5,176.242,105.519,2.10842,16.0881,12.3104,9.019618345112256e-29
ag-84fdd767bcf6,In3Rh3Y3,9,98.7103,30.2278,2.10857,1.85101,7.98575,1.9127947205002587e-28
ag-962bf62b3973,O9W3,12,173.617,111.562,2.1088,13.4881,6.19541,1.8641690617580955e-28
ag-cdeebb26060e,Cl6Rb2Ti1,9,10.2778,4.66555,2.10881,1.17799,2.63948,2.7147650838145087e-28
ag-a9c2287f020d,Se2V2,4,77.3393,42.0109,2.10883,5.82609,5.3896,8.004546369301615e-29
ag-19f95c3032bb,Pt2Zr2,4,165.763,52.7275,2.10887,5.84434,12.3982,7.669268427354177e-29
ag-af155c777063,Al2Cl8Cu2,12,11.9007,6.49342,2.10895,1.72822,2.44242,3.1592345342825457e-28
ag-72c858b8c990,Ni2Ta2Te10,14,22.154,13.0443,2.10909,2.32505,7.36038,3.960006499394948e-28
ag-4fe83e71b907,Co4Cu2S8,14,104.511,37.6736,2.10911,2.20631,4.79186,2.146235914414825e-28
ag-6969ed5a893c,C1Ru3Sc1,5,231.661,145.547,2.10916,22.9149,8.7389,6.843965889318225e-29
ag-b1221be6db2b,Er2Ga4Ni2,8,102.839,51.6142,2.10941,3.55176,9.03009,1.3438588498522904e-28
ag-990f638da763,Er4Ge4Ir4,12,141.883,43.3109,2.10955,2.02365,12.8938,2.2260171533696057e-28
ag-2236cb624d74,Ag1Ho1,2,64.7944,27.4957,2.10975,3.79173,9.51156,4.762547886683798e-29
ag-b28ce86f4120,Fe2N4W2,8,261.332,144.462,2.10988,16.2671,10.8696,8.179209009831336e-29
ag-7c4bee4c7891,Pt2Sc2Zn2,6,120.612,45.5517,2.1099,3.64881,9.62003,1.054487046769013e-28
ag-9d67de0c2985,Al4Fe6Si8,18,166.494,108.937,2.10997,8.27137,4.99727,2.218629332364911e-28
ag-30de4ce4fa5c,In2Lu4Pd4,10,91.4616,37.6929,2.11005,1.96599,10.7734,2.0887890307899585e-28
ag-e32f213e02e2,Ca3Ga4Ni4,11,76.7,30.5826,2.11012,1.83861,5.27411,1.9958155027144165e-28
ag-cc9a5a5a57fa,Ba2O4Zr1,7,107.133,55.9163,2.11021,6.45536,5.81724,1.2270857444047606e-28
ag-b857eda6f6ba,Dy4O14Tc4,22,186.522,95.8064,2.11024,5.00051,7.63422,2.7536912871091487e-28
ag-c47980a1cf32,N8Ni4O24,36,45.186,14.2109,2.11036,1.67057,2.8443,4.266579491514019e-28
